,Veterans Day,Memorial Day,Labor Day,Golden Globe Awards,Super Bowl
beginning,0.0,2.0,3.0,2.0,4.0
being,0.0,0.0,0.0,3.0,8.0
best,0.0,0.0,0.0,47.0,2.0
between,0.0,1.0,2.0,2.0,10.0
big,0.0,1.0,1.0,0.0,8.0
bill,3.0,1.0,0.0,0.0,2.0
blight,0.0,4.0,0.0,0.0,0.0
born,0.0,1.0,0.0,4.0,0.0
both,2.0,2.0,0.0,3.0,8.0
bowl,0.0,0.0,0.0,0.0,267.0
bowls,0.0,0.0,0.0,0.0,45.0
brady,0.0,0.0,0.0,0.0,6.0
broadcast,0.0,1.0,0.0,9.0,11.0
broncos,0.0,0.0,0.0,0.0,10.0
browns,0.0,0.0,0.0,0.0,4.0
calendar,0.0,1.0,2.0,4.0,1.0
california,0.0,0.0,0.0,0.0,5.0
called,1.0,3.0,2.0,1.0,3.0
came,0.0,1.0,0.0,1.0,3.0
canada,0.0,4.0,0.0,0.0,0.0
carolina,0.0,2.0,1.0,0.0,2.0
categories,0.0,0.0,0.0,11.0,0.0
category,0.0,0.0,0.0,9.0,0.0
cbs,0.0,0.0,0.0,1.0,7.0
cecil,0.0,0.0,0.0,5.0,0.0
celebrate,1.0,1.0,3.0,0.0,0.0
celebrated,2.0,2.0,4.0,0.0,0.0
celebration,4.0,2.0,2.0,0.0,1.0
cemeteries,0.0,7.0,0.0,0.0,0.0
cemetery,0.0,8.0,0.0,0.0,0.0
central,0.0,1.0,3.0,0.0,0.0
century,0.0,3.0,2.0,0.0,0.0
ceremonies,1.0,4.0,0.0,5.0,2.0
ceremony,0.0,3.0,0.0,15.0,0.0
champion,0.0,0.0,0.0,0.0,5.0
champions,0.0,0.0,0.0,0.0,11.0
championship,0.0,1.0,0.0,0.0,22.0
championships,0.0,0.0,1.0,0.0,8.0
charleston,0.0,4.0,0.0,0.0,0.0
chicago,0.0,1.0,2.0,0.0,2.0
chiefs,0.0,0.0,0.0,0.0,5.0
chosen,0.0,2.0,2.0,0.0,3.0
cities,0.0,1.0,2.0,0.0,5.0
city,0.0,1.0,3.0,0.0,17.0
civil,0.0,15.0,0.0,0.0,0.0
claimed,0.0,2.0,0.0,1.0,1.0
claims,0.0,2.0,0.0,1.0,2.0
clark,0.0,0.0,0.0,6.0,0.0
coach,0.0,0.0,0.0,0.0,7.0
colts,0.0,0.0,0.0,0.0,9.0
comedy,0.0,0.0,0.0,8.0,1.0
commemoration,0.0,2.0,2.0,0.0,0.0
commercial,0.0,0.0,0.0,0.0,4.0
common,1.0,1.0,0.0,1.0,1.0
concert,1.0,3.0,1.0,1.0,0.0
confederate,0.0,14.0,0.0,0.0,0.0
conference,0.0,1.0,0.0,2.0,7.0
conferences,0.0,0.0,0.0,2.0,3.0
congress,3.0,5.0,0.0,0.0,0.0
considered,0.0,1.0,1.0,0.0,5.0
continued,0.0,0.0,1.0,2.0,3.0
contract,0.0,0.0,0.0,6.0,0.0
contrast,0.0,2.0,0.0,1.0,1.0
countries,1.0,2.0,2.0,1.0,1.0
country,1.0,3.0,1.0,2.0,0.0
cowboys,0.0,0.0,0.0,0.0,15.0
current,0.0,0.0,0.0,2.0,3.0
currently,1.0,3.0,0.0,0.0,4.0
dallas,0.0,0.0,0.0,0.0,7.0
date,1.0,8.0,11.0,0.0,9.0
dates,0.0,5.0,1.0,0.0,0.0
david,0.0,2.0,0.0,1.0,1.0
day,40.0,92.0,50.0,0.0,12.0
days,0.0,4.0,1.0,1.0,0.0
dcp,0.0,0.0,0.0,4.0,0.0
dead,0.0,12.0,0.0,0.0,0.0
deal,0.0,0.0,0.0,4.0,0.0
death,1.0,1.0,1.0,0.0,1.0
decade,0.0,0.0,0.0,1.0,8.0
december,0.0,0.0,0.0,4.0,0.0
decorated,0.0,5.0,0.0,0.0,0.0
decoration,0.0,10.0,0.0,0.0,0.0
defeated,0.0,0.0,0.0,0.0,8.0
defeating,0.0,0.0,0.0,0.0,5.0
demille,0.0,0.0,0.0,5.0,0.0
denver,0.0,0.0,0.0,0.0,5.0
designated,1.0,2.0,1.0,0.0,5.0
determined,1.0,1.0,0.0,1.0,2.0
detroit,0.0,0.0,0.0,0.0,4.0
dick,0.0,0.0,0.0,5.0,0.0
died,3.0,4.0,0.0,0.0,0.0
different,0.0,3.0,1.0,1.0,4.0
digital,0.0,0.0,0.0,4.0,0.0
division,0.0,1.0,0.0,0.0,3.0
does,1.0,0.0,0.0,3.0,2.0
dolphins,0.0,0.0,0.0,0.0,7.0
dominant,0.0,0.0,0.0,0.0,4.0
drama,0.0,0.0,0.0,12.0,0.0
due,0.0,0.0,0.0,2.0,3.0
during,0.0,5.0,1.0,3.0,19.0
dynasty,0.0,0.0,0.0,0.0,4.0
each,1.0,1.0,1.0,9.0,11.0
eagles,0.0,0.0,0.0,0.0,5.0
earlier,0.0,1.0,0.0,1.0,2.0
early,0.0,2.0,2.0,1.0,6.0
effect,1.0,1.0,0.0,0.0,2.0
eight,1.0,0.0,0.0,2.0,4.0
either,1.0,0.0,0.0,4.0,2.0
end,1.0,3.0,3.0,1.0,4.0
england,0.0,2.0,0.0,0.0,13.0
entered,0.0,0.0,0.0,4.0,0.0
entertainment,0.0,0.0,0.0,3.0,4.0
ers,0.0,0.0,0.0,0.0,9.0
event,0.0,5.0,4.0,3.0,8.0
events,0.0,1.0,1.0,0.0,8.0
eventually,0.0,1.0,0.0,0.0,5.0
ever,0.0,1.0,0.0,0.0,5.0
every,1.0,2.0,0.0,2.0,5.0
example,0.0,0.0,1.0,0.0,5.0
external,1.0,1.0,1.0,1.0,1.0
falls,4.0,0.0,0.0,0.0,0.0
fame,0.0,0.0,0.0,0.0,11.0
famous,0.0,2.0,0.0,0.0,2.0
fashion,0.0,0.0,1.0,0.0,3.0
favorite,0.0,1.0,0.0,3.0,1.0
featured,0.0,1.0,1.0,0.0,2.0
february,0.0,0.0,0.0,0.0,12.0
federal,7.0,4.0,4.0,1.0,1.0
field,0.0,0.0,0.0,0.0,4.0
fifth,0.0,0.0,0.0,0.0,5.0
figure,0.0,0.0,0.0,1.0,3.0
film,0.0,2.0,0.0,40.0,0.0
films,0.0,1.0,0.0,9.0,1.0
final,0.0,1.0,1.0,1.0,10.0
five,0.0,0.0,0.0,8.0,11.0
fixed,0.0,0.0,0.0,0.0,4.0
florida,0.0,0.0,0.0,0.0,5.0
flowers,0.0,5.0,0.0,0.0,0.0
followed,0.0,2.0,1.0,1.0,0.0
following,2.0,3.0,2.0,0.0,17.0
football,0.0,0.0,1.0,1.0,21.0
forces,3.0,3.0,0.0,0.0,0.0
foreign,0.0,1.0,0.0,14.0,0.0
four,1.0,1.0,0.0,3.0,16.0
fourth,1.0,0.0,1.0,0.0,4.0
fox,0.0,0.0,0.0,0.0,4.0
franchise,0.0,0.0,0.0,0.0,8.0
francisco,0.0,0.0,0.0,0.0,7.0
frequently,0.0,1.0,1.0,0.0,3.0
further,0.0,1.0,2.0,0.0,1.0
future,0.0,0.0,0.0,1.0,6.0
game,0.0,0.0,1.0,0.0,81.0
games,0.0,1.0,1.0,0.0,22.0
gar,0.0,7.0,0.0,0.0,0.0
gave,1.0,3.0,0.0,1.0,1.0
general,0.0,3.0,2.0,0.0,2.0
gettysburg,0.0,6.0,0.0,0.0,0.0
giants,0.0,0.0,0.0,0.0,8.0
given,1.0,0.0,1.0,1.0,4.0
globe,0.0,0.0,1.0,25.0,0.0
globes,0.0,0.0,0.0,8.0,0.0
go,0.0,0.0,1.0,0.0,3.0
golden,0.0,0.0,0.0,31.0,1.0
grand,0.0,4.0,0.0,1.0,0.0
grave,0.0,4.0,0.0,0.0,0.0
graves,0.0,11.0,0.0,0.0,0.0
greater,0.0,0.0,0.0,3.0,3.0
green,0.0,0.0,1.0,0.0,8.0
grew,0.0,2.0,2.0,0.0,2.0
halftime,0.0,0.0,0.0,0.0,11.0
hall,0.0,0.0,0.0,0.0,12.0
haymarket,0.0,0.0,4.0,0.0,0.0
head,0.0,0.0,0.0,0.0,7.0
held,1.0,14.0,4.0,6.0,8.0
hfpa,0.0,0.0,0.0,19.0,0.0
high,1.0,0.0,0.0,0.0,4.0
history,1.0,4.0,5.0,3.0,15.0
holds,0.0,0.0,0.0,3.0,1.0
holiday,18.0,16.0,20.0,0.0,3.0
holidays,3.0,3.0,0.0,0.0,0.0
hollywood,0.0,0.0,0.0,12.0,1.0
home,0.0,1.0,0.0,0.0,21.0
honor,1.0,4.0,0.0,0.0,0.0
honoring,2.0,3.0,0.0,3.0,0.0
honors,2.0,0.0,1.0,0.0,1.0
host,0.0,1.0,0.0,3.0,21.0
hosted,0.0,0.0,0.0,3.0,7.0
hosting,0.0,0.0,0.0,0.0,4.0
hotel,0.0,0.0,0.0,3.0,2.0
hour,2.0,0.0,1.0,1.0,2.0
hours,0.0,0.0,1.0,2.0,2.0
house,2.0,3.0,0.0,1.0,1.0
houston,0.0,0.0,0.0,0.0,6.0
however,0.0,2.0,0.0,3.0,9.0
hunt,0.0,0.0,0.0,0.0,4.0
idea,2.0,1.0,1.0,0.0,0.0
ii,1.0,1.0,0.0,0.0,3.0
iii,0.0,0.0,0.0,1.0,3.0
incident,0.0,1.0,0.0,0.0,4.0
include,0.0,1.0,0.0,0.0,3.0
including,1.0,2.0,0.0,4.0,7.0
increased,1.0,0.0,0.0,0.0,4.0
indianapolis,0.0,2.0,1.0,0.0,4.0
indicates,0.0,1.0,0.0,5.0,0.0
industry,0.0,0.0,1.0,3.0,0.0
instead,0.0,1.0,0.0,2.0,3.0
international,1.0,0.0,3.0,2.0,1.0
interrupted,0.0,0.0,0.0,0.0,4.0
isbn,0.0,0.0,1.0,0.0,6.0
itself,0.0,3.0,0.0,0.0,3.0
jackson,0.0,0.0,0.0,0.0,5.0
james,0.0,2.0,1.0,0.0,2.0
january,0.0,0.0,0.0,9.0,8.0
jerseys,0.0,0.0,0.0,0.0,13.0
jets,0.0,0.0,0.0,0.0,7.0
joe,0.0,0.0,0.0,0.0,4.0
john,0.0,5.0,0.0,1.0,5.0
july,0.0,2.0,1.0,0.0,3.0
june,2.0,2.0,0.0,0.0,0.0
kansas,3.0,0.0,0.0,0.0,8.0
known,3.0,1.0,3.0,0.0,4.0
la,0.0,0.0,0.0,4.0,0.0
labor,0.0,1.0,61.0,0.0,5.0
large,0.0,1.0,1.0,0.0,7.0
las,0.0,0.0,0.0,2.0,2.0
last,1.0,3.0,1.0,0.0,5.0
late,0.0,1.0,2.0,1.0,7.0
later,0.0,0.0,1.0,0.0,7.0
law,1.0,3.0,3.0,0.0,1.0
lead,0.0,1.0,0.0,0.0,3.0
leading,0.0,1.0,0.0,0.0,4.0
league,0.0,0.0,1.0,0.0,29.0
leagues,0.0,0.0,0.0,0.0,6.0
least,0.0,0.0,0.0,6.0,2.0
leaving,0.0,0.0,0.0,1.0,3.0
led,2.0,0.0,0.0,0.0,10.0
legal,2.0,0.0,1.0,0.0,1.0
less,0.0,0.0,1.0,0.0,3.0
lii,0.0,0.0,0.0,0.0,9.0
limited,0.0,0.0,0.0,5.0,0.0
links,1.0,1.0,1.0,1.0,1.0
list,0.0,0.0,0.0,5.0,11.0
live,0.0,1.0,0.0,3.0,2.0
local,0.0,8.0,1.0,0.0,5.0
logan,0.0,4.0,0.0,0.0,0.0
london,0.0,0.0,0.0,0.0,4.0
los,0.0,0.0,0.0,5.0,9.0
lost,0.0,0.0,0.0,1.0,7.0
major,2.0,1.0,0.0,2.0,3.0
make,1.0,3.0,2.0,0.0,2.0
many,2.0,5.0,8.0,0.0,6.0
market,0.0,0.0,0.0,0.0,5.0
marks,0.0,2.0,2.0,0.0,0.0
mcguire,0.0,0.0,4.0,0.0,0.0
media,0.0,0.0,0.0,1.0,8.0
members,0.0,4.0,0.0,10.0,0.0
memorial,2.0,59.0,1.0,0.0,1.0
memory,0.0,6.0,0.0,0.0,0.0
merger,0.0,0.0,0.0,0.0,10.0
miami,0.0,0.0,0.0,0.0,14.0
michael,0.0,2.0,0.0,0.0,4.0
military,5.0,11.0,0.0,0.0,0.0
million,0.0,0.0,0.0,0.0,8.0
minimum,0.0,0.0,0.0,0.0,6.0
miniseries,0.0,0.0,0.0,5.0,0.0
minnesota,0.0,0.0,1.0,0.0,5.0
moment,0.0,2.0,0.0,0.0,2.0
monday,4.0,7.0,5.0,0.0,2.0
most,0.0,6.0,1.0,11.0,20.0
mostwatched,0.0,0.0,0.0,1.0,4.0
motion,0.0,0.0,0.0,28.0,0.0
moved,2.0,2.0,0.0,0.0,5.0
movement,0.0,1.0,3.0,0.0,0.0
music,0.0,4.0,0.0,0.0,0.0
musical,0.0,0.0,0.0,5.0,0.0
mvp,0.0,0.0,0.0,0.0,6.0
name,0.0,5.0,0.0,1.0,6.0
named,0.0,0.0,0.0,1.0,3.0
nation,0.0,4.0,0.0,0.0,0.0
national,6.0,19.0,5.0,0.0,8.0
nations,3.0,3.0,0.0,0.0,0.0
nbc,0.0,0.0,0.0,11.0,3.0
need,0.0,0.0,0.0,5.0,0.0
needs,0.0,0.0,0.0,0.0,4.0
network,0.0,0.0,0.0,3.0,2.0
never,0.0,1.0,0.0,0.0,5.0
new,2.0,7.0,7.0,6.0,43.0
next,0.0,0.0,0.0,3.0,5.0
nfc,0.0,0.0,0.0,0.0,13.0
nfl,0.0,0.0,1.0,0.0,83.0
nielsen,0.0,0.0,0.0,0.0,4.0
nine,0.0,0.0,0.0,3.0,5.0
nominated,0.0,0.0,0.0,4.0,0.0
nominations,0.0,0.0,0.0,20.0,0.0
north,0.0,2.0,0.0,0.0,3.0
northern,0.0,3.0,0.0,0.0,1.0
november,9.0,6.0,0.0,2.0,0.0
number,0.0,0.0,0.0,3.0,6.0
oakland,0.0,0.0,0.0,0.0,4.0
observance,2.0,6.0,0.0,0.0,0.0
observed,2.0,7.0,0.0,0.0,0.0
occurred,0.0,1.0,1.0,1.0,2.0
october,8.0,0.0,0.0,0.0,1.0
off,2.0,0.0,0.0,1.0,3.0
offense,0.0,0.0,0.0,0.0,4.0
official,3.0,4.0,4.0,6.0,4.0
officially,0.0,1.0,2.0,0.0,1.0
often,0.0,3.0,0.0,2.0,2.0
orange,0.0,0.0,0.0,0.0,4.0
order,1.0,1.0,1.0,0.0,1.0
organizations,2.0,0.0,1.0,0.0,1.0
organized,0.0,1.0,3.0,0.0,0.0
origin,0.0,1.0,1.0,2.0,1.0
original,1.0,3.0,0.0,5.0,3.0
originally,2.0,3.0,0.0,2.0,4.0
orleans,0.0,0.0,0.0,0.0,6.0
others,0.0,2.0,2.0,0.0,2.0
outside,0.0,0.0,1.0,0.0,3.0
overall,0.0,1.0,0.0,0.0,3.0
packers,0.0,0.0,0.0,0.0,11.0
paid,1.0,1.0,0.0,0.0,2.0
parade,0.0,2.0,3.0,0.0,0.0
park,0.0,2.0,2.0,0.0,4.0
part,0.0,0.0,0.0,3.0,8.0
participating,0.0,1.0,1.0,1.0,1.0
parties,0.0,0.0,2.0,0.0,2.0
patriots,0.0,0.0,0.0,0.0,19.0
peace,4.0,0.0,0.0,0.0,0.0
pennsylvania,0.0,4.0,0.0,0.0,0.0
people,2.0,11.0,1.0,1.0,7.0
percent,1.0,0.0,0.0,2.0,5.0
performance,0.0,0.0,0.0,1.0,4.0
performed,0.0,1.0,0.0,0.0,3.0
period,1.0,0.0,0.0,3.0,4.0
philadelphia,0.0,0.0,0.0,0.0,4.0
picture,0.0,0.0,0.0,26.0,0.0
pittsburgh,0.0,0.0,0.0,0.0,11.0
place,0.0,2.0,1.0,2.0,5.0
play,0.0,0.0,2.0,3.0,5.0
played,0.0,2.0,0.0,0.0,36.0
player,0.0,0.0,0.0,0.0,5.0
players,0.0,0.0,0.0,0.0,5.0
playing,0.0,1.0,0.0,0.0,3.0
playoff,0.0,0.0,0.0,0.0,7.0
playoffs,0.0,0.0,0.0,0.0,5.0
pm,0.0,0.0,0.0,5.0,4.0
point,0.0,1.0,1.0,1.0,1.0
popular,0.0,0.0,2.0,0.0,3.0
postseason,0.0,0.0,0.0,0.0,5.0
practice,0.0,5.0,0.0,0.0,4.0
preceding,1.0,1.0,1.0,0.0,3.0
presented,1.0,1.0,0.0,3.0,1.0
president,5.0,3.0,2.0,1.0,0.0
press,0.0,0.0,0.0,14.0,2.0
previous,0.0,2.0,0.0,0.0,3.0
prior,0.0,1.0,0.0,3.0,8.0
pro,0.0,0.0,0.0,0.0,6.0
productions,0.0,0.0,0.0,5.0,0.0
program,0.0,1.0,0.0,1.0,4.0
programs,0.0,0.0,0.0,5.0,1.0
proposed,0.0,0.0,2.0,0.0,3.0
public,2.0,5.0,10.0,2.0,0.0
quarterback,0.0,0.0,0.0,0.0,13.0
race,0.0,5.0,2.0,0.0,0.0
raiders,0.0,0.0,0.0,0.0,6.0
rams,0.0,0.0,0.0,0.0,4.0
rather,1.0,0.0,0.0,1.0,5.0
ratings,0.0,0.0,0.0,0.0,6.0
ravens,0.0,0.0,0.0,0.0,4.0
receive,1.0,0.0,0.0,3.0,0.0
receiver,0.0,0.0,0.0,0.0,4.0
recent,0.0,0.0,0.0,1.0,4.0
record,0.0,0.0,0.0,4.0,15.0
redskins,0.0,0.0,0.0,0.0,5.0
references,1.0,1.0,1.0,1.0,1.0
region,0.0,0.0,0.0,0.0,4.0
regular,1.0,0.0,0.0,3.0,15.0
release,0.0,0.0,0.0,4.0,0.0
released,0.0,0.0,0.0,7.0,0.0
religion,0.0,4.0,0.0,0.0,0.0
religious,0.0,5.0,0.0,0.0,0.0
remains,1.0,3.0,0.0,0.0,2.0
remembrance,2.0,10.0,0.0,0.0,0.0
renew,1.0,1.0,0.0,2.0,0.0
republic,0.0,4.0,0.0,0.0,0.0
requirements,0.0,0.0,0.0,1.0,3.0
research,0.0,2.0,0.0,0.0,2.0
respectively,1.0,0.0,0.0,1.0,3.0
result,0.0,0.0,0.0,1.0,3.0
returned,0.0,0.0,0.0,1.0,3.0
rights,1.0,0.0,0.0,4.0,4.0
role,0.0,1.0,0.0,8.0,0.0
rose,0.0,0.0,0.0,0.0,8.0
running,0.0,2.0,0.0,0.0,4.0
s,0.0,3.0,1.0,0.0,19.0
same,0.0,0.0,0.0,3.0,7.0
san,0.0,0.0,0.0,0.0,8.0
saturday,3.0,1.0,0.0,0.0,0.0
saw,0.0,2.0,0.0,0.0,3.0
school,1.0,0.0,9.0,0.0,0.0
score,0.0,0.0,0.0,2.0,2.0
screening,0.0,0.0,0.0,7.0,0.0
seahawks,0.0,0.0,0.0,0.0,4.0
season,0.0,1.0,2.0,2.0,29.0
seasons,0.0,0.0,0.0,0.0,5.0
seattle,0.0,0.0,0.0,0.0,4.0
second,0.0,2.0,2.0,1.0,7.0
seen,0.0,0.0,0.0,2.0,3.0
september,0.0,3.0,11.0,1.0,9.0
series,0.0,0.0,0.0,15.0,4.0
served,1.0,2.0,0.0,0.0,1.0
service,3.0,6.0,0.0,0.0,0.0
serving,1.0,3.0,0.0,0.0,0.0
set,1.0,0.0,2.0,1.0,4.0
seven,0.0,0.0,0.0,3.0,4.0
several,0.0,0.0,1.0,0.0,8.0
show,1.0,0.0,1.0,5.0,9.0
shows,0.0,0.0,0.0,1.0,3.0
significant,0.0,0.0,1.0,1.0,2.0
similar,0.0,5.0,0.0,0.0,0.0
since,1.0,8.0,1.0,27.0,14.0
single,0.0,0.0,0.0,2.0,4.0
six,0.0,0.0,0.0,4.0,10.0
soldiers,1.0,10.0,0.0,0.0,0.0
song,0.0,0.0,0.0,3.0,1.0
south,0.0,11.0,1.0,0.0,0.0
southern,0.0,4.0,1.0,0.0,0.0
space,0.0,0.0,0.0,0.0,7.0
special,0.0,1.0,0.0,2.0,2.0
specific,0.0,3.0,0.0,0.0,1.0
speeches,0.0,4.0,1.0,0.0,0.0
sporting,0.0,0.0,0.0,0.0,5.0
sports,0.0,0.0,3.0,0.0,2.0
st,0.0,1.0,0.0,2.0,2.0
stadium,0.0,0.0,0.0,0.0,53.0
stadiums,0.0,0.0,0.0,0.0,7.0
stanford,0.0,0.0,0.0,0.0,4.0
star,0.0,0.0,0.0,10.0,1.0
start,0.0,2.0,0.0,0.0,4.0
started,0.0,0.0,0.0,0.0,6.0
starting,1.0,2.0,0.0,1.0,3.0
state,1.0,4.0,7.0,0.0,2.0
stated,0.0,2.0,0.0,0.0,2.0
states,7.0,20.0,15.0,5.0,8.0
steelers,0.0,0.0,0.0,0.0,16.0
still,0.0,1.0,0.0,2.0,4.0
streak,0.0,0.0,0.0,0.0,6.0
submitted,0.0,0.0,0.0,2.0,2.0
successful,0.0,1.0,1.0,0.0,2.0
summer,0.0,4.0,3.0,0.0,1.0
sunday,2.0,3.0,2.0,0.0,5.0
super,0.0,0.0,0.0,0.0,295.0
supporting,0.0,0.0,0.0,8.0,0.0
take,0.0,1.0,2.0,2.0,2.0
tampa,0.0,0.0,0.0,0.0,4.0
team,0.0,0.0,0.0,0.0,44.0
teams,0.0,0.0,1.0,0.0,27.0
television,0.0,0.0,0.0,23.0,14.0
ten,0.0,0.0,0.0,1.0,4.0
term,0.0,1.0,0.0,0.0,4.0
terms,0.0,2.0,0.0,0.0,3.0
th,3.0,3.0,2.0,10.0,1.0
theme,0.0,3.0,0.0,2.0,1.0
third,0.0,1.0,0.0,1.0,5.0
those,5.0,6.0,1.0,0.0,3.0
three,0.0,3.0,0.0,2.0,15.0
through,1.0,0.0,0.0,4.0,9.0
thus,0.0,2.0,0.0,1.0,1.0
tied,0.0,1.0,0.0,1.0,2.0
times,0.0,0.0,0.0,0.0,6.0
title,0.0,1.0,0.0,1.0,6.0
today,1.0,0.0,2.0,0.0,2.0
together,1.0,1.0,0.0,1.0,1.0
tom,0.0,0.0,0.0,0.0,4.0
took,0.0,2.0,0.0,0.0,2.0
top,0.0,1.0,0.0,2.0,3.0
tournament,0.0,1.0,0.0,0.0,4.0
trade,0.0,0.0,4.0,0.0,0.0
trademark,0.0,0.0,0.0,0.0,6.0
traditionally,0.0,0.0,1.0,1.0,2.0
trophy,0.0,0.0,0.0,0.0,4.0
tv,0.0,0.0,0.0,16.0,3.0
typically,2.0,1.0,0.0,0.0,2.0
under,0.0,1.0,2.0,1.0,9.0
uniform,1.0,1.0,0.0,0.0,3.0
union,0.0,9.0,5.0,0.0,0.0
unions,0.0,0.0,4.0,0.0,0.0
united,6.0,18.0,12.0,5.0,8.0
university,0.0,2.0,0.0,0.0,3.0
unofficial,0.0,2.0,2.0,0.0,1.0
until,1.0,3.0,1.0,2.0,1.0
use,0.0,0.0,1.0,0.0,6.0
used,0.0,1.0,0.0,1.0,5.0
using,0.0,0.0,0.0,0.0,6.0
usually,0.0,1.0,1.0,0.0,4.0
various,0.0,7.0,1.0,1.0,2.0
vegas,0.0,0.0,0.0,2.0,3.0
venue,0.0,0.0,0.0,0.0,6.0
veteran,3.0,2.0,0.0,0.0,1.0
veterans,26.0,14.0,0.0,0.0,0.0
victory,4.0,0.0,0.0,0.0,12.0
viewers,0.0,0.0,0.0,0.0,8.0
viewership,0.0,0.0,0.0,0.0,4.0
vikings,0.0,0.0,0.0,0.0,5.0
virginia,0.0,2.0,1.0,1.0,0.0
voting,1.0,0.0,0.0,5.0,0.0
war,6.0,24.0,0.0,0.0,1.0
washington,0.0,1.0,1.0,0.0,4.0
watched,0.0,0.0,0.0,0.0,7.0
waterloo,0.0,4.0,0.0,0.0,0.0
way,1.0,3.0,0.0,0.0,0.0
wear,0.0,0.0,1.0,0.0,4.0
wearing,0.0,1.0,0.0,0.0,4.0
website,2.0,1.0,0.0,2.0,1.0
week,1.0,1.0,1.0,2.0,5.0
weekend,1.0,4.0,13.0,0.0,2.0
weeks,6.0,0.0,2.0,0.0,1.0
well,0.0,1.0,0.0,2.0,3.0
went,1.0,2.0,0.0,0.0,1.0
where,1.0,2.0,0.0,0.0,5.0
while,5.0,4.0,3.0,1.0,7.0
white,2.0,2.0,1.0,0.0,12.0
wilson,3.0,1.0,0.0,0.0,0.0
win,0.0,0.0,0.0,2.0,14.0
winner,0.0,0.0,0.0,3.0,1.0
winners,0.0,0.0,0.0,6.0,1.0
winning,0.0,0.0,0.0,10.0,16.0
wins,0.0,0.0,0.0,6.0,3.0
within,0.0,1.0,0.0,2.0,8.0
without,1.0,0.0,0.0,3.0,3.0
women,0.0,8.0,0.0,0.0,0.0
won,0.0,0.0,0.0,12.0,27.0
work,3.0,0.0,1.0,1.0,0.0
workers,2.0,0.0,6.0,0.0,0.0
world,6.0,4.0,0.0,3.0,11.0
worn,0.0,0.0,0.0,0.0,6.0
writers,0.0,0.0,1.0,3.0,0.0
xix,0.0,0.0,0.0,0.0,4.0
xliv,0.0,0.0,0.0,0.0,5.0
xlix,0.0,0.0,0.0,0.0,5.0
xlviii,0.0,0.0,0.0,0.0,4.0
xvi,0.0,0.0,0.0,0.0,4.0
year,4.0,1.0,2.0,15.0,29.0
years,3.0,5.0,0.0,4.0,23.0
yet,0.0,2.0,0.0,0.0,3.0
york,0.0,2.0,6.0,1.0,15.0
young,0.0,0.0,0.0,5.0,1.0
zadora,0.0,0.0,0.0,5.0,0.0
–,0.0,2.0,1.0,20.0,32.0
•,0.0,0.0,0.0,8.0,0.0
