Date,Euro_to_Dollar,Dollar,Gold (oz),AAPL,AMZN
3/1/18,1.233198,0.810899791,1322.8,40.598782,1447.33997
4/1/18,1.212283,0.824889898,1316.2,39.988998,1566.13001
5/1/18,1.166725,0.857100002,1300.1,45.218109,1629.62
6/1/18,1.170494,0.854340133,1251.3,44.964947,1699.80005
7/1/18,1.170741,0.854159887,1223.7,46.223221,1777.43994
8/1/18,1.166466,0.857290311,1200.3,55.293457,2012.70996
9/1/18,1.162304,0.860360112,1191.5,55.026672,2003
10/1/18,1.134636,0.881339919,1212.3,53.349594,1598.01001
11/1/18,1.139277,0.877749661,1220.2,43.530891,1690.17004
12/1/18,1.143995,0.874129695,1284.7,38.585068,1501.96997
1/1/19,1.148765,0.870500059,1319.7,40.713184,1718.72998
2/1/19,1.138019,0.878719951,1312.8,42.354534,1639.82996
3/1/19,1.123305,0.890230169,1293,46.663288,1780.75
4/1/19,1.118518,0.89404015,1282.8,49.296772,1926.52002
5/1/19,1.113115,0.898379772,1310.2,43.007851,1775.06995
6/1/19,1.139095,0.877889904,1409.7,48.808441,1893.63001
7/1/19,1.115797,0.89622037,1426.1,52.53714,1866.78003
8/1/19,1.1012,0.908100254,1519.1,51.47673,1776.29004
9/1/19,1.094271,0.913850408,1465.7,55.442406,1735.91003
10/1/19,1.115449,0.896499974,1511.4,61.579021,1776.66003
11/1/19,1.102,0.907441016,1465.6,66.156113,1800.80005
12/1/19,1.12023,0.892673826,1520,72.9095,1847.83997
1/1/20,1.102913,0.90668983,1582.9,76.847343,2008.71997
2/1/20,1.103,0.906618314,1642.5,67.871758,1883.75
3/1/20,1.103047,0.906579683,1583.4,63.28677,1949.71997
4/1/20,1.087725,0.91935002,1684.2,73.119873,2474
5/1/20,1.111,0.900090009,1755.1,79.127747,2442.37012
6/1/20,1.12472,0.889110179,1793,91.035858,2758.82007
7/1/20,1.187225,0.842300322,1962.8,106.068756,3164.67993
8/1/20,1.191824,0.839050061,1967.6,128.807755,3450.95996
9/1/20,1.192321,0.838700316,1934.7,131.399994,3531.44995
