Offense,Street,Incident ID,Date of Report,Reported As,latitude,longitude
INFORMATION,828 MARTIN LUTHER KING JR BLVD/HILLSBOROUGH ST,172034,6/24/19,MISC OFFICER IN,35.925057,-79.054119
B&E RESIDENCE-FORCE,212 VANCE ST,172033,6/24/19,MISC OFFICER IN,35.90634038,-79.05588801
COMMUNICATING THREATS,1103 VALLEY PARK DR,172032,6/24/19,INFO MESSAGE,35.92265451,-79.03595214
B&E RESIDENCE-FORCE,710 MARTIN LUTHER KING JR BLVD,172031,6/24/19,BURGLARY/HOME I,35.92193902,-79.05551467
LARCENY FROM MOTOR VEHICLE,1720 FORDHAM BLVD,172030,6/24/19,MISC OFFICER IN,35.9375842,-79.02293625
INFORMATION,800 PRITCHARD AVE EXT,172027,6/24/19,HARASSMENT/STAL,35.92054403,-79.06121663
B&E VEH (ATT LAR F/VEH),712 MARTIN LUTHER KING JR BLVD,172025,6/24/19,MISC OFFICER IN,35.92216537,-79.05541019
LARCENY-SHOPLIFTING,201 S ESTES DR,172023,6/24/19,THEFT/LARCENY,35.92525325,-79.02566477
WELL-BEING CHECK,1710 E FRANKLIN ST,172020,6/24/19,MENTAL DISORDER,35.93619236,-79.02719443
SUSPICIOUS CONDITION,205 JUSTICE ST,172014,6/24/19,BURGLARY/HOME I,35.93033949,-79.06023012
ABANDONED VEHICLE,750 WEAVER DAIRY RD,172012,6/24/19,TRAFFIC/TRANSPO,35.96232651,-79.03742825
B&E RESIDENCE NO FORCE,700 SYKES ST,172011,6/24/19,BURGLARY/HOME I,35.91702422,-79.0662946
ASSIST EMS,403 W ROSEMARY ST,172004,6/23/19,PUBLIC SERVICE,35.91162576,-79.06257771
MISSING PERSON,2318 HONEYSUCKLE CT,172003,6/23/19,MISSING/RUNAWAY,35.95185522,-79.03075537
VANDALISM / DAMAGE TO PROPERTY (WILLFUL),1060 NC 54,172001,6/23/19,HARASSMENT/STAL,35.92473811,-79.13561717
COMMUNICATING THREATS -INTIMIDATION  NON PHYSICAL THREAT,103 BRIGHT SUN PL,171999,6/23/19,DOMESTIC DISTUR,35.95467249,-79.05878867
COMMUNICATING THREATS -INTIMIDATION  NON PHYSICAL THREAT,407 W FRANKLIN ST,171998,6/23/19,HARASSMENT/STAL,35.9111898,-79.06077112
DOMESTIC SIMPLE  ASSAULT,2525 BOOKER CREEK RD,171995,6/23/19,DOMESTIC DISTUR,35.94755536,-79.02583773
LARCENY- ALL OTHER,251 PERKINS DR,171994,6/23/19,THEFT/LARCENY,35.96687874,-79.05697502
DRIVING WHILE IMPAIRED,1998 FORDHAM BLVD,171993,6/23/19,TRAFFIC STOP,35.893533,-79.05688864
WARRANT SERVICE,153 S ROBERSON ST/W CAMERON AVE,171992,6/23/19,TRAFFIC STOP,35.907858,-79.061823
DOMESTIC DISTURBANCE/NO ASSAULT,216 KNOLLS ST,171991,6/23/19,DOMESTIC DISTUR,35.90580151,-79.06899905
REC. STOLEN AUTO FROM ANOTHER JURISDICTION,800 PRITCHARD AVE X,171990,6/22/19,TRAFFIC VIOLATI,35.92054403,-79.06121663
CHECK WELLBEING,800 PRITCHARD AVE X,171989,6/22/19,HARASSMENT/STAL,35.92054403,-79.06121663
CHECK ON WELL BEING,1710 E FRANKLIN ST,171988,6/22/19,PUBLIC SERVICE,35.93619236,-79.02719443
NEIGHBOR DISPUTE,194 ST ANDREWS LN,171984,6/22/19,DISTURBANCE/NUI,35.93800887,-79.00868814
RESISTING ARREST,123 E FRANKLIN ST,171983,6/22/19,DISTURBANCE/NUI,35.91352728,-79.05486988
SUSPICIOUS VEHICLE,400 PARKVIEW CRES,171981,6/22/19,SUSPICIOUS/WANT,35.88638026,-79.06932017
NEIGHBOR DISPUTE,719 E ROSEMARY ST,171980,6/22/19,LITTERING,35.91886888,-79.04394986
FOUND CHILD,2002 FOUNTAIN RIDGE RD,171977,6/22/19,MISSING/RUNAWAY,35.93638166,-79.00093558
DOMESTIC DISTURBANCE/NO ASSAULT,201 S ESTES DR,171975,6/22/19,DOMESTIC DISTUR,35.92525325,-79.02566477
RESISTING ARREST,155 E FRANKLIN ST,171974,6/22/19,DISTURBANCE/NUI,35.91386337,-79.05398877
INJURED CAT,201 S ELLIOTT RD,171972,6/22/19,ANIMAL,35.93296022,-79.02793252
TRESPASSING,1740 FORDHAM BLVD,171971,6/22/19,TRESPASSING/UNW,35.9397298,-79.02113183
FIGHTING/ AFFRAY,1502 E FRANKLIN ST,171969,6/22/19,DISTURBANCE/NUI,35.92989597,-79.03399028
